C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,03:00:00,REGULAR,0000405722,0001526577                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,07:00:00,REGULAR,0000405726,0001526685                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,08:20:38,REGULAR,0000405739,0001526948                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,11:00:00,REGULAR,0000405784,0001527638                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,15:00:00,REGULAR,0000405874,0001528089                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,19:00:00,REGULAR,0000406247,0001528756                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/25/2014,23:00:00,REGULAR,0000406388,0001529054                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/26/2014,03:00:00,REGULAR,0000406413,0001529097                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/26/2014,07:00:00,REGULAR,0000406413,0001529195                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/26/2014,11:00:00,REGULAR,0000406481,0001530016                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/26/2014,15:00:00,REGULAR,0000406607,0001530534                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/26/2014,19:00:00,REGULAR,0000406905,0001531179                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/26/2014,23:00:00,REGULAR,0000407030,0001531351                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/27/2014,03:00:00,REGULAR,0000407048,0001531376                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/27/2014,07:00:00,REGULAR,0000407051,0001531395                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/27/2014,11:00:00,REGULAR,0000407069,0001531537                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/27/2014,15:00:00,REGULAR,0000407123,0001531725                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/27/2014,19:00:00,REGULAR,0000407185,0001531864                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/27/2014,23:00:00,REGULAR,0000407216,0001531970                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/28/2014,03:00:00,REGULAR,0000407230,0001532007                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/28/2014,07:00:00,REGULAR,0000407232,0001532073                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/28/2014,11:00:00,REGULAR,0000407262,0001532490                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,11/28/2014,15:00:00,REGULAR,0000407381,0001532941                                     
